season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2,0,5,12,0,4,1,1,0.78,0.7424,0.59,0.3284,53,141,194
3,0,6,14,0,3,1,1,0.8,0.6970000000000001,0.31,0.19399999999999998,50,138,188
1,1,1,8,0,4,1,1,0.12,0.1515,0.54,0.1045,9,414,423
1,1,2,17,0,5,1,2,0.34,0.3333,0.42,0.19399999999999998,15,381,396
1,1,1,7,0,2,1,1,0.14,0.1212,0.59,0.2537,2,168,170
4,1,11,15,0,2,1,2,0.46,0.4545,0.55,0.1045,61,226,287
3,0,7,3,0,0,0,3,0.68,0.6364,0.65,0.0896,8,25,33
4,1,10,6,0,4,1,1,0.36,0.3485,0.5,0.1642,1,158,159
1,1,3,9,0,0,0,1,0.3,0.2727,0.49,0.4478,14,104,118
3,1,8,16,0,4,1,1,0.86,0.7727,0.39,0.2537,97,320,417
3,1,8,1,0,4,1,1,0.64,0.6061,0.65,0.0,6,17,23
1,1,2,2,0,3,1,1,0.3,0.3333,0.61,0.0,0,4,4
1,1,3,14,0,1,1,2,0.28,0.2576,0.57,0.3582,13,115,128
1,0,2,11,1,1,0,2,0.32,0.3333,0.57,0.1045,20,70,90
4,1,12,4,0,5,1,1,0.2,0.2273,0.75,0.0896,1,9,10
2,1,5,13,0,2,1,2,0.72,0.6667,0.51,0.2239,41,208,249
4,0,10,15,0,0,0,1,0.62,0.6212,0.35,0.3881,182,230,412
4,1,11,23,0,3,1,1,0.26,0.2727,0.48,0.1343,5,73,78
4,0,10,19,0,6,0,1,0.5,0.4848,0.51,0.1343,61,177,238
2,0,6,16,0,3,1,1,0.92,0.8788,0.4,0.2239,34,199,233
3,1,9,15,0,1,1,2,0.64,0.6061,0.65,0.2537,82,256,338
4,1,11,21,0,4,1,2,0.38,0.3939,0.54,0.1343,29,238,267
2,0,4,2,0,2,1,1,0.46,0.4545,0.67,0.2836,8,5,13
1,0,3,9,0,5,1,1,0.46,0.4545,0.63,0.2239,18,192,210
3,1,8,8,0,5,1,2,0.66,0.6212,0.74,0.0,41,703,744
1,1,3,22,0,2,1,1,0.54,0.5152,0.77,0.0,32,156,188
2,1,5,21,0,2,1,3,0.6,0.5455,0.88,0.4478,3,68,71
2,0,3,3,0,2,1,1,0.24,0.2121,0.32,0.2985,2,1,3
3,0,9,22,0,0,0,1,0.62,0.6061,0.69,0.3881,21,74,95
4,1,12,21,0,6,0,1,0.36,0.3485,0.62,0.1343,15,169,184
4,0,11,0,0,2,1,1,0.52,0.5,0.83,0.0,4,18,22
3,1,6,13,0,6,0,1,0.82,0.7273,0.34,0.19399999999999998,226,338,564
1,0,3,11,0,4,1,1,0.2,0.2273,0.29,0.0896,10,40,50
1,1,1,7,0,5,1,1,0.22,0.2121,0.69,0.2239,2,183,185
3,1,9,16,0,4,1,1,0.72,0.6515,0.39,0.0896,85,406,491
1,0,1,20,0,1,1,3,0.16,0.1667,0.59,0.1642,0,78,78
1,1,2,2,0,2,1,1,0.24,0.2879,0.6,0.0,0,3,3
1,0,1,9,0,3,1,3,0.22,0.2121,0.87,0.2985,3,55,58
1,1,2,8,0,0,0,1,0.08,0.0758,0.53,0.2537,0,26,26
1,0,2,6,0,5,1,2,0.16,0.2273,0.55,0.0,2,26,28
1,1,2,23,0,6,0,2,0.36,0.3333,0.4,0.3881,12,62,74
1,1,1,22,0,0,0,1,0.46,0.4545,0.55,0.4179,13,53,66
3,0,8,18,0,3,1,1,0.76,0.6970000000000001,0.55,0.2537,86,470,556
1,0,2,11,0,0,0,1,0.32,0.303,0.49,0.2537,28,89,117
2,1,4,5,0,1,1,1,0.4,0.4091,0.76,0.4925,2,22,24
4,0,11,12,0,3,1,1,0.46,0.4545,0.55,0.1642,32,157,189
4,1,10,11,0,6,0,1,0.56,0.5303,0.64,0.2836,197,388,585
4,0,11,4,0,3,1,1,0.3,0.2879,0.75,0.2239,0,5,5
4,0,10,17,0,2,1,2,0.6,0.5758,0.78,0.2537,70,534,604
1,0,1,22,0,4,1,1,0.18,0.2121,0.74,0.0896,0,27,27
2,1,6,21,0,5,1,1,0.66,0.6212,0.5,0.1045,83,250,333
1,1,2,10,1,1,0,1,0.22,0.19699999999999998,0.55,0.4478,30,113,143
4,0,10,9,0,5,1,2,0.42,0.4242,0.58,0.1343,33,189,222
1,0,2,11,0,6,0,1,0.3,0.2727,0.28,0.3284,30,84,114
3,1,9,22,0,5,1,1,0.62,0.5758,0.83,0.19399999999999998,40,189,229
2,0,6,8,0,6,0,1,0.74,0.6818,0.58,0.19399999999999998,32,111,143
2,0,4,4,1,5,0,1,0.38,0.3939,0.82,0.0896,0,3,3
2,1,4,1,0,4,1,1,0.48,0.4697,0.27,0.3284,4,9,13
2,1,3,19,0,5,1,1,0.66,0.6212,0.5,0.19399999999999998,213,473,686
3,0,8,3,0,4,1,3,0.66,0.5909,0.94,0.0896,0,3,3
4,1,10,3,0,4,1,1,0.42,0.4242,0.47,0.2985,0,3,3
4,0,11,11,0,4,1,2,0.46,0.4545,0.67,0.3881,9,99,108
3,0,7,16,0,3,1,1,0.76,0.7273,0.7,0.2537,57,218,275
1,0,3,1,0,4,1,1,0.24,0.19699999999999998,0.3,0.4627,0,1,1
3,1,9,20,0,1,1,2,0.62,0.5909,0.73,0.1343,32,308,340
1,0,12,10,0,5,1,1,0.4,0.4091,0.62,0.3582,8,96,104
4,1,10,5,0,2,1,2,0.38,0.3939,0.82,0.19399999999999998,0,19,19
1,0,2,19,0,3,1,1,0.28,0.2424,0.45,0.4925,3,88,91
1,0,2,7,0,5,1,2,0.42,0.4242,0.77,0.2239,8,108,116
4,1,10,6,0,3,1,1,0.48,0.4697,0.82,0.1045,11,162,173
2,1,6,17,0,0,0,1,0.7,0.6364,0.34,0.2537,192,386,578
4,1,12,13,0,2,1,2,0.54,0.5152,0.64,0.1642,39,233,272
2,1,4,22,0,2,1,1,0.5,0.4848,0.51,0.0,25,133,158
2,0,6,21,0,5,1,1,0.64,0.5909,0.78,0.0896,49,159,208
4,0,10,17,0,5,1,1,0.6,0.6212,0.56,0.2537,101,462,563
1,0,12,18,0,4,1,2,0.44,0.4394,0.62,0.0896,11,277,288
3,1,6,19,0,1,1,1,0.74,0.6515,0.27,0.4627,74,508,582
2,1,6,22,0,2,1,1,0.56,0.5303,0.52,0.1045,22,171,193
1,0,2,17,0,2,1,1,0.22,0.1818,0.32,0.5821,4,172,176
2,1,5,9,0,5,1,1,0.48,0.4697,0.41,0.2985,34,288,322
4,1,11,12,0,0,0,1,0.38,0.3939,0.46,0.2239,150,354,504
1,0,2,23,0,2,1,1,0.12,0.1061,0.33,0.3284,3,9,12
2,1,5,4,0,3,1,1,0.54,0.5152,0.94,0.1343,1,3,4
1,0,1,22,0,2,1,2,0.22,0.2576,0.93,0.0896,0,33,33
1,0,12,6,0,6,0,2,0.3,0.303,0.75,0.1642,0,10,10
1,1,3,17,0,2,1,1,0.7,0.6364,0.37,0.1045,62,614,676
3,1,8,14,0,5,1,1,0.9,0.7727,0.25,0.2239,112,324,436
2,1,5,23,0,1,1,1,0.62,0.5909,0.73,0.2836,18,79,97
4,1,10,10,0,3,1,1,0.66,0.6061,0.78,0.1642,29,146,175
1,0,12,5,0,6,0,2,0.36,0.3485,0.76,0.2239,1,0,1
1,1,3,21,0,6,0,1,0.3,0.2879,0.39,0.2239,16,94,110
1,0,3,12,0,0,0,1,0.46,0.4545,0.38,0.3881,74,120,194
4,0,11,21,0,5,1,1,0.36,0.3788,0.71,0.0,24,61,85
4,0,12,16,0,3,1,2,0.38,0.3939,0.54,0.1045,12,233,245
2,0,5,9,0,3,1,1,0.68,0.6364,0.65,0.0896,27,207,234
2,1,3,16,0,3,1,3,0.62,0.6212,0.43,0.0896,51,170,221
1,1,1,18,0,3,1,3,0.34,0.3333,0.87,0.19399999999999998,2,96,98
3,1,7,16,1,3,0,1,0.92,0.8485,0.35,0.2537,163,226,389
3,1,8,17,0,1,1,1,0.8,0.7273,0.46,0.2239,101,744,845
1,0,2,13,0,6,0,2,0.34,0.3182,0.42,0.2537,38,136,174
2,0,4,0,0,1,1,1,0.4,0.4091,0.5,0.2239,1,5,6
1,1,12,3,0,5,1,2,0.24,0.2424,0.6,0.1642,0,2,2
3,0,9,7,0,6,0,1,0.6,0.5455,0.88,0.1343,9,43,52
2,1,6,21,0,4,1,1,0.62,0.6212,0.41,0.3284,30,283,313
4,0,10,9,0,4,1,3,0.56,0.5303,1.0,0.1045,3,106,109
3,1,8,10,0,6,0,1,0.72,0.6818,0.62,0.0896,125,282,407
3,1,9,5,0,4,1,1,0.44,0.4394,0.77,0.1045,4,52,56
3,1,9,2,0,4,1,1,0.46,0.4545,0.72,0.0896,2,9,11
4,1,10,13,0,5,1,1,0.56,0.5303,0.37,0.3881,81,300,381
3,0,7,5,0,3,1,1,0.68,0.6364,0.83,0.1045,4,19,23
2,0,4,16,0,6,0,2,0.38,0.3939,0.82,0.0,73,118,191
3,0,9,3,0,4,1,1,0.58,0.5455,0.78,0.0896,7,7,14
4,0,10,5,0,1,1,2,0.36,0.3636,0.76,0.1045,4,17,21
1,1,1,6,0,0,0,2,0.3,0.3333,0.52,0.0,0,2,2
2,1,4,11,0,1,1,2,0.44,0.4394,0.44,0.1045,52,111,163
4,0,11,11,0,5,1,1,0.3,0.303,0.36,0.1343,18,122,140
3,0,9,13,0,4,1,2,0.68,0.6364,0.83,0.3881,14,112,126
2,0,6,11,0,6,0,1,0.66,0.6212,0.36,0.1343,120,249,369
2,0,4,2,0,6,0,3,0.32,0.3333,1.0,0.1343,3,14,17
3,1,6,2,0,6,0,2,0.64,0.5758,0.89,0.0,7,54,61
2,1,5,9,0,6,0,1,0.62,0.5909,0.78,0.1045,61,223,284
3,1,8,7,0,0,0,1,0.64,0.5758,0.89,0.19399999999999998,11,23,34
1,1,3,14,0,5,1,1,0.42,0.4242,0.28,0.4627,49,129,178
2,1,5,0,0,0,0,1,0.58,0.5455,0.53,0.1045,42,128,170
3,1,6,11,0,5,1,2,0.9,0.8485,0.42,0.2836,51,137,188
1,1,1,2,0,2,1,1,0.18,0.1667,0.51,0.2537,0,3,3
4,1,11,11,0,5,1,1,0.4,0.4091,0.47,0.2985,66,185,251
3,0,7,3,0,0,0,1,0.74,0.6970000000000001,0.66,0.0,24,26,50
2,0,4,8,0,3,1,1,0.32,0.303,0.61,0.2239,17,308,325
4,1,10,18,0,5,1,1,0.64,0.6212,0.57,0.1343,106,655,761
1,1,12,2,0,6,0,1,0.26,0.2121,0.44,0.5224,0,23,23
2,1,4,21,0,3,1,1,0.34,0.303,0.57,0.3881,11,154,165
2,0,3,23,0,3,1,3,0.32,0.3333,0.9,0.0,2,24,26
1,0,3,8,0,0,0,1,0.28,0.2727,0.56,0.1642,7,30,37
4,0,10,9,0,0,0,1,0.36,0.3333,0.76,0.3582,19,96,115
3,0,6,15,0,3,1,2,0.82,0.7879,0.56,0.2836,32,114,146
1,1,2,0,0,5,1,2,0.44,0.4394,0.58,0.0896,12,34,46
2,1,3,19,0,4,1,1,0.48,0.4697,0.39,0.2836,47,421,468
4,0,11,21,0,3,1,1,0.36,0.3182,0.57,0.4627,0,66,66
2,0,3,6,0,0,0,3,0.16,0.1818,0.86,0.1343,0,2,2
1,1,2,17,0,1,1,1,0.4,0.4091,0.43,0.2537,13,417,430
2,1,5,20,0,1,1,1,0.64,0.6061,0.69,0.1343,44,292,336
2,1,4,14,0,2,1,1,0.56,0.5303,0.21,0.2239,120,191,311
3,1,9,15,0,0,0,1,0.64,0.6212,0.41,0.1642,215,342,557
3,0,8,8,0,1,1,1,0.74,0.6818,0.58,0.3284,29,320,349
4,1,12,5,0,6,0,2,0.26,0.303,0.75,0.0,0,3,3
2,0,4,23,0,2,1,2,0.6,0.5606,0.83,0.2239,7,71,78
1,1,2,4,0,6,0,1,0.3,0.2727,0.42,0.3284,0,2,2
3,0,7,6,0,0,0,1,0.64,0.5909,0.78,0.0896,8,17,25
3,1,6,23,0,6,0,1,0.78,0.7424,0.62,0.0896,33,119,152
4,0,12,18,0,5,1,1,0.34,0.3636,0.61,0.0,10,308,318
1,0,1,8,0,3,1,2,0.24,0.2576,0.93,0.1045,1,196,197
2,1,5,11,0,4,1,1,0.66,0.6212,0.65,0.1343,61,160,221
4,1,12,3,0,2,1,3,0.36,0.3333,0.76,0.2836,0,3,3
1,0,12,0,0,3,1,2,0.34,0.3333,0.71,0.1343,7,18,25
4,1,11,9,0,1,1,2,0.36,0.3333,0.66,0.2537,18,260,278
3,1,9,1,0,5,1,1,0.62,0.5606,0.88,0.1045,10,19,29
4,0,12,21,0,1,1,2,0.44,0.4394,0.88,0.0896,10,166,176
1,1,1,5,0,2,1,3,0.32,0.303,0.66,0.3284,0,13,13
1,0,1,17,0,3,1,3,0.2,0.1818,0.93,0.3582,0,26,26
3,0,9,5,0,3,1,1,0.58,0.5455,0.88,0.1045,1,30,31
3,1,9,16,0,6,0,2,0.66,0.6212,0.36,0.2239,350,433,783
3,1,7,21,0,2,1,1,0.74,0.6970000000000001,0.66,0.2239,53,325,378
3,0,9,2,0,2,1,3,0.54,0.5152,0.94,0.2537,0,2,2
4,1,12,11,0,2,1,2,0.36,0.3333,0.53,0.3582,28,145,173
3,0,9,21,0,0,0,2,0.54,0.5152,0.68,0.0896,37,110,147
4,1,12,10,0,4,1,1,0.32,0.303,0.45,0.2836,28,139,167
2,0,5,9,1,1,0,1,0.72,0.6970000000000001,0.74,0.0896,47,81,128
3,0,6,0,0,2,1,2,0.66,0.6061,0.78,0.1343,5,25,30
2,0,4,19,0,0,0,1,0.56,0.5303,0.3,0.2985,75,135,210
1,1,2,4,0,0,0,1,0.24,0.2273,0.41,0.19399999999999998,1,5,6
2,0,6,19,0,5,1,1,0.68,0.6212,0.26,0.2836,53,338,391
3,1,7,12,0,2,1,2,0.82,0.7879,0.56,0.2239,60,169,229
4,1,11,19,0,5,1,2,0.38,0.3939,0.43,0.2985,38,336,374
1,0,3,15,0,5,1,2,0.34,0.3182,0.53,0.2537,21,64,85
2,1,3,23,0,4,1,1,0.56,0.5303,0.83,0.0896,34,117,151
2,0,4,13,0,6,0,1,0.54,0.5152,0.39,0.2985,185,270,455
3,0,7,19,0,2,1,1,0.82,0.7424,0.43,0.2985,69,329,398
3,1,9,2,0,2,1,1,0.68,0.6364,0.82,0.1343,1,4,5
1,1,2,3,0,1,1,1,0.24,0.2424,0.75,0.1642,0,2,2
1,1,2,10,0,4,1,1,0.42,0.4242,0.67,0.19399999999999998,41,107,148
3,1,8,4,0,2,1,1,0.56,0.5303,0.88,0.0,0,4,4
4,0,10,20,0,1,1,1,0.52,0.5,0.77,0.1045,40,189,229
4,0,12,15,0,0,0,1,0.3,0.3333,0.26,0.0,47,219,266
2,0,4,16,0,6,0,1,0.6,0.5909,0.73,0.2836,180,246,426
4,1,12,4,0,3,1,1,0.26,0.303,0.6,0.0,0,4,4
4,0,11,14,0,0,0,1,0.62,0.6212,0.43,0.4627,113,200,313
3,1,7,10,0,6,0,2,0.72,0.6818,0.7,0.0896,123,278,401
4,1,12,3,0,4,1,2,0.3,0.3182,0.7,0.0896,1,3,4
4,0,11,8,0,5,1,1,0.26,0.2727,0.81,0.1343,6,68,74
2,0,5,8,0,5,1,1,0.54,0.5152,0.68,0.0,41,476,517
1,0,2,6,0,1,1,1,0.18,0.2424,0.93,0.0,1,29,30
3,0,8,14,0,3,1,1,0.74,0.6515,0.4,0.1343,48,148,196
1,1,12,20,0,5,1,2,0.24,0.2576,0.65,0.1045,14,83,97
1,0,1,2,0,0,0,1,0.02,0.0606,0.62,0.1343,3,15,18
2,1,5,16,0,6,0,2,0.7,0.6364,0.21,0.19399999999999998,254,337,591
4,1,11,17,0,5,1,1,0.36,0.3485,0.5,0.19399999999999998,31,551,582
1,1,12,21,0,3,1,2,0.3,0.2727,0.87,0.2985,0,20,20
4,1,10,0,0,2,1,2,0.38,0.3939,0.82,0.2239,9,22,31
4,1,11,2,0,2,1,1,0.24,0.2576,0.65,0.0896,0,2,2
3,1,7,5,0,5,1,2,0.66,0.5909,0.89,0.1343,2,40,42
2,1,4,16,0,2,1,1,0.62,0.6061,0.21,0.1642,145,340,485
2,1,4,9,0,3,1,1,0.42,0.4242,0.54,0.0,33,288,321
1,0,12,10,0,0,0,1,0.26,0.2424,0.81,0.2537,31,12,43
1,0,3,0,0,4,1,1,0.38,0.3939,0.66,0.2537,4,19,23
2,1,4,3,0,0,0,2,0.36,0.3485,0.87,0.19399999999999998,2,14,16
3,1,9,6,0,3,1,1,0.7,0.6667,0.79,0.2836,7,203,210
3,0,8,11,0,3,1,1,0.72,0.6515,0.42,0.1343,28,143,171
4,1,9,19,0,3,1,1,0.7,0.6515,0.54,0.1642,38,589,627
3,1,9,13,0,2,1,1,0.66,0.6212,0.29,0.0896,72,256,328
4,1,12,8,0,2,1,2,0.44,0.4394,0.88,0.1642,21,700,721
1,0,2,5,0,3,1,1,0.06,0.1061,0.45,0.1045,0,7,7
1,1,1,15,0,2,1,1,0.42,0.4242,0.38,0.2985,17,119,136
2,0,4,22,0,6,0,1,0.44,0.4394,0.67,0.1045,37,106,143
4,0,9,5,0,3,1,2,0.6,0.5152,0.94,0.0,2,20,22
3,0,9,17,0,2,1,1,0.74,0.6667,0.51,0.2239,72,507,579
3,1,8,1,0,2,1,2,0.6,0.5606,0.83,0.1343,11,22,33
4,0,12,2,0,3,1,1,0.26,0.303,0.75,0.0,0,2,2
4,1,11,14,0,4,1,1,0.36,0.3485,0.43,0.2239,13,174,187
2,1,4,4,0,1,1,1,0.44,0.4394,0.24,0.19399999999999998,2,3,5
3,1,9,6,0,1,1,1,0.48,0.4697,0.82,0.0,7,157,164
3,0,9,13,0,0,0,2,0.78,0.7424,0.62,0.2836,245,174,419
2,1,5,10,0,4,1,1,0.7,0.6364,0.39,0.3881,65,155,220
4,1,11,14,0,5,1,1,0.42,0.4242,0.35,0.1045,47,204,251
3,0,8,16,0,1,1,1,0.9,0.7879,0.27,0.0,34,197,231
4,0,10,5,0,5,1,2,0.56,0.5303,0.94,0.1642,0,17,17
2,1,5,14,0,0,0,1,0.76,0.7121,0.58,0.2537,317,230,547
1,1,3,17,0,4,1,1,0.7,0.6364,0.39,0.2537,79,634,713
2,0,4,0,0,4,1,1,0.64,0.5909,0.78,0.3582,13,41,54
3,1,9,16,0,5,1,1,0.8,0.7576,0.55,0.2836,75,395,470
3,1,7,11,0,1,1,2,0.78,0.7273,0.55,0.1343,69,146,215
4,1,9,8,0,0,0,1,0.48,0.4697,0.55,0.3582,38,137,175
1,0,1,22,1,1,0,3,0.14,0.1212,0.93,0.2537,0,13,13
3,0,9,3,0,6,0,1,0.62,0.5909,0.73,0.1642,17,18,35
2,0,5,19,0,0,0,1,0.72,0.6970000000000001,0.74,0.2537,141,146,287
2,1,4,17,0,3,1,1,0.42,0.4242,0.35,0.3881,52,527,579
4,0,11,22,1,5,0,1,0.32,0.3182,0.39,0.19399999999999998,13,78,91
3,1,9,3,0,6,0,1,0.56,0.5303,0.83,0.2836,6,39,45
3,0,9,2,0,5,1,1,0.4,0.4091,0.71,0.2836,3,7,10
4,1,11,15,0,3,1,1,0.36,0.3333,0.32,0.3284,7,172,179
1,0,3,1,0,3,1,3,0.3,0.2727,1.0,0.2985,1,2,3
3,1,7,18,0,1,1,1,0.84,0.7273,0.32,0.1642,72,658,730
2,1,6,0,0,1,1,1,0.56,0.5303,0.73,0.2537,12,28,40
2,0,5,4,0,6,0,1,0.4,0.4091,0.82,0.1045,1,4,5
3,1,7,4,0,0,0,1,0.78,0.7576,0.66,0.1045,2,11,13
4,0,10,20,0,6,0,1,0.24,0.2121,0.87,0.3582,7,40,47
4,1,11,22,0,3,1,3,0.3,0.2879,0.56,0.2537,4,56,60
2,0,3,18,0,1,1,2,0.52,0.5,0.72,0.2239,44,232,276
1,1,1,17,0,2,1,1,0.14,0.1061,0.26,0.4627,4,241,245
1,1,1,11,0,4,1,1,0.3,0.3333,0.49,0.0,6,78,84
3,0,9,3,0,4,1,3,0.62,0.5455,0.94,0.0,0,2,2
1,0,1,12,0,6,0,2,0.06,0.1061,0.38,0.1045,10,60,70
4,1,11,13,0,4,1,1,0.38,0.3939,0.32,0.1343,15,209,224
4,1,10,11,0,1,1,1,0.58,0.5455,0.46,0.0,76,196,272
3,0,9,6,0,2,1,1,0.56,0.5303,0.88,0.1045,6,116,122
4,0,12,19,0,1,1,2,0.36,0.3485,0.53,0.1642,17,234,251
2,1,5,15,0,6,0,3,0.66,0.6212,0.74,0.19399999999999998,241,300,541
1,1,12,10,0,6,0,3,0.26,0.2424,0.81,0.1343,6,35,41
4,0,9,3,0,4,1,2,0.6,0.5152,0.94,0.19399999999999998,0,8,8
1,1,2,5,0,2,1,1,0.32,0.2879,0.42,0.3582,1,20,21
2,1,4,22,0,6,0,2,0.54,0.5152,0.52,0.1642,64,148,212
4,1,11,20,0,2,1,1,0.26,0.2273,0.75,0.3284,4,228,232
2,1,6,13,0,2,1,1,0.74,0.6818,0.58,0.1343,69,203,272
1,0,2,21,0,5,1,1,0.28,0.2576,0.48,0.3881,7,56,63
3,1,7,0,0,4,1,1,0.74,0.6970000000000001,0.66,0.0896,16,50,66
4,1,10,10,0,6,0,1,0.4,0.4091,0.43,0.0,82,265,347
4,0,11,9,0,1,1,2,0.44,0.4394,0.88,0.2239,17,191,208
1,0,1,9,0,3,1,2,0.24,0.2576,0.93,0.1045,2,107,109
4,0,11,3,0,3,1,1,0.32,0.3485,0.93,0.0,0,4,4
2,1,3,21,0,2,1,1,0.36,0.3485,0.37,0.1642,21,200,221
2,1,4,21,0,0,0,2,0.5,0.4848,0.59,0.1642,33,101,134
1,1,2,2,0,0,0,1,0.24,0.2121,0.44,0.3284,5,37,42
2,0,4,11,1,5,0,1,0.52,0.5,0.55,0.19399999999999998,41,95,136
2,0,5,18,0,1,1,1,0.7,0.6667,0.74,0.2836,68,385,453
2,0,3,14,0,1,1,1,0.32,0.303,0.22,0.2239,15,65,80
2,1,4,21,1,1,0,1,0.68,0.6364,0.51,0.2537,39,232,271
4,1,12,16,0,4,1,1,0.32,0.3485,0.42,0.0,39,292,331
3,0,9,4,0,0,0,1,0.44,0.4394,0.77,0.2239,1,0,1
2,0,5,3,0,4,1,1,0.44,0.4394,0.88,0.1343,0,5,5
3,1,9,7,0,5,1,1,0.52,0.5,0.77,0.0,35,468,503
4,0,12,19,0,5,1,2,0.32,0.303,0.45,0.2239,11,203,214
4,1,11,18,1,4,0,1,0.4,0.4091,0.43,0.0,16,54,70
4,0,10,21,0,3,1,1,0.5,0.4848,0.82,0.1045,28,173,201
1,0,3,11,0,5,1,2,0.32,0.303,0.57,0.2985,14,67,81
3,0,8,21,0,1,1,1,0.76,0.7121,0.58,0.0896,30,156,186
4,1,10,0,0,6,0,1,0.36,0.3636,0.57,0.0896,31,218,249
3,0,7,9,0,0,0,1,0.8,0.7424,0.49,0.0,55,128,183
1,0,3,21,0,4,1,1,0.18,0.2121,0.4,0.1045,3,48,51
4,1,12,21,0,0,0,2,0.44,0.4394,0.77,0.2239,8,91,99
3,1,6,9,0,4,1,1,0.8,0.7576,0.55,0.19399999999999998,32,224,256
1,1,2,20,0,2,1,1,0.34,0.3182,0.53,0.2537,4,223,227
4,0,11,19,0,0,0,1,0.38,0.3939,0.76,0.19399999999999998,21,130,151
4,1,12,10,0,2,1,1,0.46,0.4545,0.82,0.19399999999999998,26,130,156
4,1,10,17,0,3,1,2,0.4,0.4091,0.58,0.1642,39,684,723
3,1,7,8,0,1,1,1,0.76,0.6970000000000001,0.52,0.19399999999999998,20,548,568
2,1,5,17,0,0,0,1,0.72,0.6515,0.45,0.3284,209,340,549
2,1,5,11,0,0,0,1,0.72,0.6818,0.66,0.2239,268,251,519
1,1,12,2,0,6,0,2,0.24,0.2424,0.7,0.0,1,18,19
4,0,11,19,0,2,1,2,0.4,0.4091,0.82,0.3284,6,244,250
1,0,2,7,0,6,0,1,0.12,0.1515,0.8,0.1045,2,9,11
2,0,6,15,0,2,1,1,0.64,0.6212,0.47,0.1642,42,136,178
4,1,11,21,0,4,1,1,0.26,0.2727,0.65,0.1343,7,201,208
2,0,5,8,0,5,1,1,0.42,0.4242,0.77,0.2537,35,415,450
4,1,11,5,0,6,0,2,0.32,0.303,0.49,0.2537,1,8,9
1,1,12,4,0,0,0,1,0.2,0.2121,0.47,0.1343,1,3,4
2,0,4,13,0,6,0,3,0.46,0.4545,0.94,0.5224,9,49,58
2,1,5,10,0,3,1,2,0.62,0.6061,0.69,0.2836,39,138,177
1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
4,1,10,19,0,3,1,1,0.5,0.4848,0.72,0.19399999999999998,49,467,516
1,0,12,15,0,5,1,1,0.38,0.3939,0.54,0.3582,12,191,203
4,1,10,8,0,6,0,1,0.56,0.5303,0.83,0.19399999999999998,22,184,206
2,0,5,20,0,3,1,1,0.54,0.5152,0.64,0.1343,28,245,273
3,1,7,4,0,0,0,1,0.6,0.5455,0.88,0.0,6,10,16
2,0,4,0,0,6,0,2,0.3,0.2879,0.87,0.2239,5,26,31
1,0,3,6,0,0,0,2,0.42,0.4242,0.94,0.3582,1,1,2
1,1,1,0,0,0,0,1,0.36,0.3788,0.66,0.0,5,43,48
4,1,10,1,0,2,1,3,0.36,0.3485,0.87,0.2239,0,13,13
2,0,5,2,0,4,1,1,0.62,0.5758,0.83,0.1045,7,7,14
2,0,3,1,0,4,1,2,0.3,0.2879,1.0,0.2239,0,3,3
4,1,11,3,0,3,1,1,0.28,0.2879,0.87,0.1045,0,2,2
1,0,12,16,0,6,0,1,0.44,0.4394,0.51,0.3881,52,143,195
3,0,8,3,0,3,1,1,0.64,0.5909,0.78,0.0,1,4,5
2,1,6,19,0,6,0,1,0.64,0.6212,0.36,0.1642,185,369,554
1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
1,0,1,11,0,4,1,2,0.28,0.2727,0.45,0.1642,5,63,68
3,0,6,17,0,2,1,3,0.82,0.7879,0.56,0.2836,70,509,579
2,0,6,18,0,0,0,2,0.74,0.6818,0.58,0.0896,78,218,296
4,1,10,17,0,5,1,1,0.46,0.4545,0.38,0.3881,131,706,837
1,0,3,14,0,5,1,1,0.36,0.3333,0.4,0.2836,30,65,95
2,1,6,1,0,4,1,1,0.52,0.5,0.77,0.1642,5,17,22
4,0,10,19,0,0,0,2,0.38,0.3939,0.76,0.1642,34,128,162
4,1,9,9,0,0,0,1,0.5,0.4848,0.51,0.3284,71,205,276
1,1,2,19,0,4,1,2,0.32,0.3182,0.87,0.1642,4,254,258
3,0,8,6,0,0,0,2,0.64,0.5606,0.94,0.1045,2,4,6
3,1,6,20,0,4,1,1,0.86,0.7879,0.44,0.19399999999999998,79,357,436
4,0,10,3,0,1,1,1,0.36,0.3788,0.81,0.0,1,6,7
3,0,9,18,1,1,0,1,0.66,0.5909,0.89,0.0896,31,92,123
1,0,1,14,0,2,1,2,0.3,0.3333,0.45,0.0,11,57,68
2,0,5,9,0,2,1,2,0.64,0.6061,0.73,0.19399999999999998,27,111,138
3,1,8,19,0,4,1,1,0.76,0.6818,0.4,0.1045,119,558,677
1,1,1,7,0,6,0,1,0.22,0.2727,0.75,0.0,3,28,31
3,1,7,19,0,1,1,1,0.8,0.7879,0.63,0.1343,92,503,595
2,0,4,14,0,6,0,3,0.32,0.303,0.76,0.3284,97,93,190
1,0,12,4,0,2,1,2,0.3,0.2879,0.65,0.2239,0,3,3
4,1,11,21,0,1,1,2,0.38,0.3939,0.54,0.2239,15,188,203
3,1,9,11,0,1,1,2,0.62,0.6061,0.69,0.2239,61,191,252
